Wavelength(nm)	n	k
4.84000e+03	3.46985e+00	7.52000e-07
4.85000e+03	3.46985e+00	7.57600e-07
4.86000e+03	3.46985e+00	7.63200e-07
4.87000e+03	3.46985e+00	7.68800e-07
4.88000e+03	3.46985e+00	7.74500e-07
4.89000e+03	3.46985e+00	7.80300e-07
4.90000e+03	3.46985e+00	7.86000e-07
4.91000e+03	3.46985e+00	7.91800e-07
4.92000e+03	3.46985e+00	7.97700e-07
4.93000e+03	3.46985e+00	8.03500e-07
4.94000e+03	3.46985e+00	8.09400e-07
4.95000e+03	3.46985e+00	8.15400e-07
4.96000e+03	3.46985e+00	8.21400e-07
4.97000e+03	3.46985e+00	8.27400e-07
4.98000e+03	3.46985e+00	8.33500e-07
4.99000e+03	3.46985e+00	8.39600e-07
5.00000e+03	3.46985e+00	8.45700e-07
5.01000e+03	3.46985e+00	8.51900e-07
5.02000e+03	3.46985e+00	8.58100e-07
5.03000e+03	3.46985e+00	8.64300e-07
5.04000e+03	3.46985e+00	8.70600e-07
5.05000e+03	3.46985e+00	8.76900e-07
5.06000e+03	3.46985e+00	8.83300e-07
5.07000e+03	3.46985e+00	8.89700e-07
5.08000e+03	3.46985e+00	8.96200e-07
5.09000e+03	3.46985e+00	9.02600e-07
5.10000e+03	3.46985e+00	9.09200e-07
5.11000e+03	3.46985e+00	9.15700e-07
5.12000e+03	3.46985e+00	9.22300e-07
5.13000e+03	3.46985e+00	9.29000e-07
5.14000e+03	3.46985e+00	9.35700e-07
5.15000e+03	3.46985e+00	9.42400e-07
5.16000e+03	3.46985e+00	9.49200e-07
5.17000e+03	3.46985e+00	9.56000e-07
5.18000e+03	3.46985e+00	9.62900e-07
5.19000e+03	3.46985e+00	9.69800e-07
5.20000e+03	3.46985e+00	9.76700e-07
5.21000e+03	3.46985e+00	9.83700e-07
5.22000e+03	3.46985e+00	9.90700e-07
5.23000e+03	3.46985e+00	9.97800e-07
5.24000e+03	3.46985e+00	1.00490e-06
5.25000e+03	3.46985e+00	1.01210e-06
5.26000e+03	3.46985e+00	1.01930e-06
5.27000e+03	3.46985e+00	1.02650e-06
5.28000e+03	3.46985e+00	1.03380e-06
5.29000e+03	3.46985e+00	1.04120e-06
5.30000e+03	3.46985e+00	1.04860e-06
5.31000e+03	3.46985e+00	1.05600e-06
5.32000e+03	3.46985e+00	1.06350e-06
5.33000e+03	3.46984e+00	1.07100e-06
5.34000e+03	3.46984e+00	1.07860e-06
5.35000e+03	3.46984e+00	1.08620e-06
5.36000e+03	3.46984e+00	1.09390e-06
5.37000e+03	3.46984e+00	1.10160e-06
5.38000e+03	3.46984e+00	1.10930e-06
5.39000e+03	3.46984e+00	1.11720e-06
5.40000e+03	3.46984e+00	1.12500e-06
5.41000e+03	3.46984e+00	1.13290e-06
5.42000e+03	3.46984e+00	1.14090e-06
5.43000e+03	3.46984e+00	1.14890e-06
5.44000e+03	3.46984e+00	1.15700e-06
5.45000e+03	3.46984e+00	1.16510e-06
5.46000e+03	3.46984e+00	1.17320e-06
5.47000e+03	3.46984e+00	1.18150e-06
5.48000e+03	3.46984e+00	1.18970e-06
5.49000e+03	3.46984e+00	1.19800e-06
5.50000e+03	3.46984e+00	1.20640e-06
5.51000e+03	3.46984e+00	1.21480e-06
5.52000e+03	3.46984e+00	1.22330e-06
5.53000e+03	3.46984e+00	1.23180e-06
5.54000e+03	3.46984e+00	1.24040e-06
5.55000e+03	3.46984e+00	1.24910e-06
5.56000e+03	3.46984e+00	1.25770e-06
5.57000e+03	3.46984e+00	1.26650e-06
5.58000e+03	3.46984e+00	1.27530e-06
5.59000e+03	3.46984e+00	1.28410e-06
5.60000e+03	3.46984e+00	1.29310e-06
5.61000e+03	3.46984e+00	1.30200e-06
5.62000e+03	3.46984e+00	1.31100e-06
5.63000e+03	3.46984e+00	1.32010e-06
5.64000e+03	3.46984e+00	1.32930e-06
5.65000e+03	3.46984e+00	1.33850e-06
5.66000e+03	3.46984e+00	1.34770e-06
5.67000e+03	3.46984e+00	1.35700e-06
5.68000e+03	3.46984e+00	1.36640e-06
5.69000e+03	3.46984e+00	1.37580e-06
5.70000e+03	3.46984e+00	1.38530e-06
5.71000e+03	3.46984e+00	1.39490e-06
5.72000e+03	3.46984e+00	1.40450e-06
5.73000e+03	3.46984e+00	1.41420e-06
5.74000e+03	3.46984e+00	1.42390e-06
5.75000e+03	3.46984e+00	1.43370e-06
5.76000e+03	3.46984e+00	1.44360e-06
5.77000e+03	3.46984e+00	1.45350e-06
5.78000e+03	3.46984e+00	1.46350e-06
5.79000e+03	3.46984e+00	1.47350e-06
5.80000e+03	3.46984e+00	1.48360e-06
5.81000e+03	3.46984e+00	1.49380e-06
5.82000e+03	3.46984e+00	1.50410e-06
5.83000e+03	3.46984e+00	1.51440e-06
5.84000e+03	3.46984e+00	1.52470e-06
5.85000e+03	3.46984e+00	1.53520e-06
5.86000e+03	3.46984e+00	1.54570e-06
5.87000e+03	3.46984e+00	1.55630e-06
5.88000e+03	3.46984e+00	1.56690e-06
5.89000e+03	3.46984e+00	1.57760e-06
5.90000e+03	3.46984e+00	1.58840e-06
5.91000e+03	3.46984e+00	1.59930e-06
5.92000e+03	3.46984e+00	1.61020e-06
5.93000e+03	3.46984e+00	1.62120e-06
5.94000e+03	3.46984e+00	1.63230e-06
5.95000e+03	3.46984e+00	1.64340e-06
5.96000e+03	3.46984e+00	1.65460e-06
5.97000e+03	3.46984e+00	1.66590e-06
5.98000e+03	3.46984e+00	1.67730e-06
5.99000e+03	3.46984e+00	1.68870e-06
6.00000e+03	3.46984e+00	1.70020e-06
6.01000e+03	3.46984e+00	1.71180e-06
6.02000e+03	3.46984e+00	1.72340e-06
6.03000e+03	3.46984e+00	1.73520e-06
6.04000e+03	3.46984e+00	1.74700e-06
6.05000e+03	3.46984e+00	1.75890e-06
6.06000e+03	3.46984e+00	1.77080e-06
6.07000e+03	3.46984e+00	1.78290e-06
6.08000e+03	3.46984e+00	1.79500e-06
6.09000e+03	3.46984e+00	1.80720e-06
6.10000e+03	3.46983e+00	1.81950e-06
6.11000e+03	3.46983e+00	1.83180e-06
6.12000e+03	3.46983e+00	1.84430e-06
6.13000e+03	3.46983e+00	1.85680e-06
6.14000e+03	3.46983e+00	1.86940e-06
6.15000e+03	3.46983e+00	1.88210e-06
6.16000e+03	3.46983e+00	1.89490e-06
6.17000e+03	3.46983e+00	1.90780e-06
6.18000e+03	3.46983e+00	1.92070e-06
6.19000e+03	3.46983e+00	1.93380e-06
6.20000e+03	3.46983e+00	1.94690e-06
6.21000e+03	3.46983e+00	1.96010e-06
6.22000e+03	3.46983e+00	1.97340e-06
6.23000e+03	3.46983e+00	1.98680e-06
